year,emissions,note
2009,352701,UC verified inventory (Scopes 1+2+3)
2010,339951,UC verified inventory
2011,373175,UC verified inventory
2012,377879,UC verified inventory
2013,362270,UC verified inventory
2014,360987,UC verified inventory
2015,357197,UC verified inventory
2016,341535,UC verified inventory
2017,362645,UC verified inventory
2018,355189,UC verified inventory
2019,335331,UC policy baseline (Scopes 1+2+3)
2020,270895,UC verified inventory
2021,279834,UC 2022 Annual Sustainability Report
2022,310436,UC 2023 Annual Sustainability Report
2023,311710,UC 2024 Annual Sustainability Report
